A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
1,1,1,0,n,    ,8071.31713,0.00046,0.00000,0.00000,1008664.91582,0.00049,False
1,-1,0,1,H,    ,7288.97061,0.00009,0.00000,0.00000,1007825.03224,0.00009,False
2,0,1,1,H,    ,13135.72176,0.00011,1112.28300,0.00000,2014101.77811,0.00012,False
3,1,2,1,H,    ,14949.80993,0.00022,2827.26500,0.00000,3016049.28199,0.00023,False
3,-1,1,2,He,    ,14931.21793,0.00021,2572.68000,0.00000,3016029.32265,0.00022,False
3,-3,0,3,Li, -pp,28667.00000,2000.00000,-2267.00000,667.00000,3030775.00000,2147.00000,True
4,2,3,1,H,  -n,24621.12700,100.00000,1720.44900,25.00000,4026431.86800,107.35400,False
4,0,2,2,He,    ,2424.91561,0.00006,7073.91500,0.00000,4002603.25413,0.00006,False
4,-2,1,3,Li,  -p,25323.18900,212.13200,1153.76000,53.03300,4027185.56200,227.73300,False
5,3,4,1,H, -nn,32892.44400,89.44300,1336.35900,17.88900,5035311.49300,96.02000,False
5,1,3,2,He,  -n,11231.23300,20.00000,5512.13200,4.00000,5012057.22400,21.47000,False
5,-1,2,3,Li,  -p,11678.88600,50.00000,5266.13200,10.00000,5012537.80000,53.67700,False
5,-3,1,4,Be,   x,37139.00000,2003.00000,18.00000,401.00000,5039870.00000,2150.00000,True
6,4,5,1,H, -3n,41875.72100,254.12700,961.63900,42.35400,6044955.43700,272.81600,False
6,2,4,2,He,    ,17592.09500,0.05300,4878.51900,0.00900,6018885.89100,0.05700,False
6,0,3,3,Li,    ,14086.87895,0.00144,5332.33100,0.00000,6015122.88742,0.00155,False
6,-2,2,4,Be,   -,18375.03300,5.44800,4487.24700,0.90800,6019726.40900,5.84800,False
6,-4,1,5,B,   x,47320.00000,2003.00000,-467.00000,334.00000,6050800.00000,2150.00000,True
7,5,6,1,H, -nn,49135.00000,1004.00000,940.00000,143.00000,7052749.00000,1078.00000,True
7,3,5,2,He,  -n,26073.12600,7.55900,4123.05700,1.08000,7027990.65400,8.11500,False
7,1,4,3,Li,    ,14907.10529,0.00423,5606.43900,0.00100,7016003.43666,0.00454,False
7,-1,3,4,Be,    ,15768.99900,0.07100,5371.54800,0.01000,7016928.71700,0.07600,False
7,-3,2,5,B, p4n,27676.55000,25.15000,3558.70500,3.59300,7029712.00000,27.00000,False
8,4,6,2,He,    ,31609.68100,0.08900,3924.52000,0.01100,8033934.39000,0.09500,False
8,2,5,3,Li,    ,20945.80400,0.04700,5159.71200,0.00600,8022486.24600,0.05000,False
8,0,4,4,Be,  -a,4941.67100,0.03500,7062.43500,0.00400,8005305.10200,0.03700,False
8,-2,3,5,B,    ,22921.56700,1.00000,4717.15500,0.12500,8024607.31600,1.07300,False
8,-4,2,6,C,    ,35064.26800,18.24300,3101.52400,2.28000,8037643.04200,19.58400,False
9,5,7,2,He,    ,40935.82600,46.81600,3349.03700,5.20200,9043946.41900,50.25900,False
9,3,6,3,Li, -3n,24954.90200,0.18600,5037.76800,0.02100,9026790.19100,0.20000,False
9,1,5,4,Be,    ,11348.45300,0.07700,6462.66800,0.00900,9012183.06600,0.08200,False
9,-1,4,5,B,   -,12416.48800,0.90300,6257.07000,0.10000,9013329.64900,0.96900,False
9,-3,3,6,C, -pp,28910.97200,2.13700,4337.42300,0.23700,9031037.20700,2.29300,False
10,6,8,2,He, -nn,49197.14300,92.84800,2995.13400,9.28500,10052815.30800,99.67600,False
10,4,7,3,Li,  -n,33052.62400,12.72100,4531.35100,1.27200,10035483.45300,13.65600,False
10,2,6,4,Be,    ,12607.48800,0.08100,6497.63000,0.00800,10013534.69500,0.08600,False
10,0,5,5,B,    ,12050.60900,0.01500,6475.08300,0.00200,10012936.86200,0.01600,False
10,-2,4,6,C,    ,15698.67200,0.07000,6032.04200,0.00700,10016853.21800,0.07500,False
10,-4,3,7,N,  --,38800.02600,400.00000,3643.67200,40.00000,10041653.54300,429.41700,False
11,5,8,3,Li,   x,40728.25400,0.61500,4155.38100,0.05600,11043723.58100,0.66000,False
11,3,7,4,Be,    ,20177.16700,0.23800,5952.54000,0.02200,11021661.08100,0.25500,False
11,1,6,5,B,    ,8667.70700,0.01200,6927.73200,0.00100,11009305.16600,0.01300,False
11,-1,5,6,C,    ,10649.39600,0.06000,6676.45600,0.00500,11011432.59700,0.06400,False
11,-3,4,7,N,  -p,24303.55900,46.15400,5364.04600,4.19600,11026090.94500,49.54800,False
12,6,9,3,Li,  -n,49009.57100,30.00600,3791.60000,2.50100,12052613.94100,32.21300,False
12,4,8,4,Be,    ,25077.76000,1.90900,5720.72200,0.15900,12026922.08300,2.04800,False
12,2,7,5,B,    ,13369.39700,1.32100,6631.22300,0.11000,12014352.63800,1.41800,False
12,0,6,6,C,    ,0.00000,0.00000,7680.14400,0.00000,12000000.00000,0.00000,False
12,-2,5,7,N,    ,17338.06800,1.00000,6170.10900,0.08300,12018613.18200,1.07300,False
12,-4,4,8,O, -pp,31914.61300,24.00000,4890.20200,2.00000,12034261.74700,25.76500,False
13,7,10,3,Li, -nn,56980.88800,70.00300,3507.63000,5.38500,13061171.50300,75.15000,False
13,5,9,4,Be,  -n,33659.07700,10.18000,5241.43500,0.78300,13036134.50700,10.92900,False
13,3,8,5,B, -nn,16561.94700,1.00000,6496.41900,0.07700,13017779.98100,1.07300,False
13,1,7,6,C,    ,3125.00888,0.00021,7469.84900,0.00000,13003354.83521,0.00023,False
13,-1,6,7,N,    ,5345.48100,0.27000,7238.86300,0.02100,13005738.60900,0.28900,False
