Model: emg22	Value	Error
amp	0.9518492129301889	0.005990442179501902
mu	61.95663960149608	4.03229064040224e-06
sigma	8.341447302629027e-05	2.9556868940057145e-06
theta	0.7247137076255304	0.023491058935282198
eta_m1	0.920189979387074	0.023130981967846714
eta_m2	0.07981002061292597	0.02313098199374846
tau_m1	4.48999918068121e-05	5.877804798726545e-06
tau_m2	0.00017682506547257428	2.481607822880468e-05
eta_p1	0.7900914592527707	0.044933096174424494
eta_p2	0.2099085407472293	0.0449330961434457
tau_p1	0.00012412446811073958	1.3319883834040398e-05
tau_p2	0.0004076177163038251	5.479528310712444e-05
bkg_c	0.9374717341382888	0.21447703020420583
