A;N-Z;N;Z;Element;O;ME [keV];Error ME [keV];BINDING ENERGY/A [keV];Error BINDING ENERGY/A [keV];ATOMIC MASS [µu];Error ATOMIC MASS [µu];Extrapolated?
1;1;1;0;n;    ;8071.31806;0.00044;0.00000;0.00000;1008664.91590;0.00047;False
1;-1;0;1;H;    ;7288.97106;0.00001;0.00000;0.00000;1007825.03190;0.00001;False
2;0;1;1;H;    ;13135.72290;0.00002;1112.28310;0.00020;2014101.77784;0.00002;False
3;1;2;1;H;    ;14949.81090;0.00008;2827.26540;0.00030;3016049.28132;0.00008;False
3;-1;1;2;He;    ;14931.21888;0.00006;2572.68044;0.00015;3016029.32197;0.00006;False
3;-3;0;3;Li; -pp;28667.00000;2000.00000;-2267.00000;667.00000;3030775.00000;2147.00000;True
4;2;3;1;H;  -n;24621.12900;100.00000;1720.44910;25.00000;4026431.86700;107.35400;False
4;0;2;2;He;    ;2424.91587;0.00015;7073.91560;0.00020;4002603.25413;0.00016;False
4;-2;1;3;Li;  -p;25323.19000;212.13200;1153.76030;53.03300;4027185.56100;227.73300;False
5;3;4;1;H; -nn;32892.44700;89.44300;1336.35920;17.88850;5035311.49200;96.02000;False
5;1;3;2;He;  -n;11231.23400;20.00000;5512.13250;4.00000;5012057.22400;21.47000;False
5;-1;2;3;Li;  -p;11678.88700;50.00000;5266.13250;10.00000;5012537.80000;53.67700;False
5;-3;1;4;Be;   x;37139.00000;2003.00000;18.00000;401.00000;5039870.00000;2150.00000;True
6;4;5;1;H; -3n;41875.72500;254.12700;961.63950;42.35450;6044955.43700;272.81600;False
6;2;4;2;He;    ;17592.09500;0.05300;4878.51990;0.00890;6018885.88900;0.05700;False
6;0;3;3;Li;    ;14086.88044;0.00144;5332.33120;0.00030;6015122.88742;0.00155;False
6;-2;2;4;Be;   -;18375.03400;5.44800;4487.24780;0.90800;6019726.40900;5.84800;False
6;-4;1;5;B;   x;47320.00000;2003.00000;-467.00000;334.00000;6050800.00000;2150.00000;True
7;5;6;1;H; -nn;49135.00000;1004.00000;940.00000;143.00000;7052749.00000;1078.00000;True
7;3;5;2;He;  -n;26073.12800;7.55900;4123.05780;1.07990;7027990.65200;8.11500;False
7;1;4;3;Li;    ;14907.10463;0.00419;5606.44010;0.00060;7016003.43426;0.00450;False
7;-1;3;4;Be;    ;15768.99800;0.07100;5371.54870;0.01010;7016928.71400;0.07600;False
7;-3;2;5;B; p4n;27676.55300;25.15000;3558.70550;3.59290;7029712.00000;27.00000;False
8;4;6;2;He;    ;31609.68300;0.08900;3924.52100;0.01110;8033934.38800;0.09500;False
8;2;5;3;Li;    ;20945.80500;0.04700;5159.71240;0.00590;8022486.24400;0.05000;False
8;0;4;4;Be;  -a;4941.67200;0.03500;7062.43560;0.00440;8005305.10200;0.03700;False
8;-2;3;5;B;    ;22921.56900;1.00000;4717.15510;0.12500;8024607.31500;1.07300;False
8;-4;2;6;C;    ;35064.26900;18.24300;3101.52420;2.28040;8037643.03900;19.58400;False
