Model: emg22	Value	Error
amp	0.9518491133876456	0.005990446943230489
mu	61.95663960158337	4.03228567947781e-06
sigma	8.341444361464037e-05	2.955684868491459e-06
theta	0.7247139631232465	0.02349105013277133
eta_m1	0.9201905361767305	0.023131166348181357
eta_m2	0.07980946382326948	0.023131166330811786
tau_m1	4.4900112334736545e-05	5.877803249663454e-06
tau_m2	0.000176825360359527	2.4816589220409715e-05
eta_p1	0.790091794626045	0.044933816064302655
eta_p2	0.20990820537395505	0.04493381602779844
tau_p1	0.00012412456234834184	1.3319975352125126e-05
tau_p2	0.0004076169957230541	5.479623588170097e-05
bkg_c	0.937517049188311	0.21448563141024848
